region_id,baseline_irv,perturbed_irv,delta_irv,replacement_rate,selected_paths
1,30.6801765752,30.9661057452,0.2859291700,0.2,4972
2,49.9792739350,48.3594573180,-1.6198166170,0.2,4972
3,165.3582423856,165.4135146128,0.0552722273,0.2,4972
4,73.2276998600,69.5790524613,-3.6486473987,0.2,4972
5,105.1053986282,111.3989688105,6.2935701822,0.2,4972
6,490.2971020387,485.6459909986,-4.6511110401,0.2,4972
7,667.0475471746,675.8195749294,8.7720277547,0.2,4972
8,2091.4366106249,2076.2486159571,-15.1879946678,0.2,4972
9,0.4103961793,1.1895938034,0.7791976241,0.2,4972
10,313.7578129983,311.8272672960,-1.9305457023,0.2,4972
11,246.1392265499,245.6918554281,-0.4473711218,0.2,4972
12,21.8732899369,17.3893712412,-4.4839186957,0.2,4972
13,17.9556034177,15.3867223131,-2.5688811045,0.2,4972
14,46.0801944905,45.8796755586,-0.2005189319,0.2,4972
15,86.1278996712,86.5680519664,0.4401522952,0.2,4972
16,271.3529851777,279.6429746587,8.2899894810,0.2,4972
17,4.3666434892,4.4882299672,0.1215864779,0.2,4972
18,1.4336116004,1.1318307580,-0.3017808424,0.2,4972
19,19.7303610128,19.0808300579,-0.6495309549,0.2,4972
20,5.9761853071,6.8384125944,0.8622272873,0.2,4972
21,218.3020822582,215.6454831055,-2.6565991527,0.2,4972
22,337.1531190925,330.6406015400,-6.5125175525,0.2,4972
23,31.4082922850,32.8230395838,1.4147472988,0.2,4972
24,611.5121365967,611.2636038924,-0.2485327042,0.2,4972
25,12.6696562688,13.1478709922,0.4782147233,0.2,4972
26,8.7295842462,6.1186274264,-2.6109568198,0.2,4972
27,11.7641826965,12.0168540808,0.2526713843,0.2,4972
28,550.6869754267,569.0103593419,18.3233839152,0.2,4972
29,8.8096482890,9.6955902145,0.8859419255,0.2,4972
30,121.4900769929,123.6957029718,2.2056259790,0.2,4972
31,97.9266615949,93.7985968832,-4.1280647117,0.2,4972
32,887.3106290269,883.2252083429,-4.0854206840,0.2,4972
33,132.2781358523,134.6560099071,2.3778740547,0.2,4972
34,52.6743256362,56.9053720804,4.2310464442,0.2,4972
35,27.5656241470,27.7905798259,0.2249556789,0.2,4972
36,18.6664666570,15.6882331541,-2.9782335028,0.2,4972
37,16.8726594501,18.2839737684,1.4113143183,0.2,4972
38,8.0998500228,10.2827663075,2.1829162847,0.2,4972
39,17.7772415867,15.7935308006,-1.9837107861,0.2,4972
40,10.1042929966,11.3551027868,1.2508097902,0.2,4972
41,17.3265923537,16.0088420372,-1.3177503165,0.2,4972
42,6.5066315028,6.4674610839,-0.0391704189,0.2,4972
43,7.3656475223,7.1257157348,-0.2399317874,0.2,4972
44,6.4648777477,6.5172074415,0.0523296937,0.2,4972
45,2.5627014013,2.6203807863,0.0576793850,0.2,4972
46,1.9589760041,2.0128109809,0.0538349768,0.2,4972
47,0.0707286060,0.1679999216,0.0972713156,0.2,4972
48,1.5507146820,1.6862226548,0.1355079728,0.2,4972
49,3.1036079905,3.3824603353,0.2788523447,0.2,4972
50,1.1654220274,1.2703286858,0.1049066584,0.2,4972
51,1.3357294227,1.8421160369,0.5063866142,0.2,4972
52,0.9405133339,0.5372856388,-0.4032276950,0.2,4972
53,0.3893538249,0.3893538249,0.0000000000,0.2,4972
54,0.0891282861,0.0891282861,0.0000000000,0.2,4972
55,0.3409214174,0.2655186346,-0.0754027828,0.2,4972
56,102.5476605766,102.4915423088,-0.0561182678,0.2,4972
57,14.5303588848,12.8354064023,-1.6949524825,0.2,4972
58,31.9742286944,29.2038017851,-2.7704269093,0.2,4972
59,30.4988112178,29.8674560020,-0.6313552158,0.2,4972
60,68.2952829005,66.3637381689,-1.9315447316,0.2,4972
61,6.9632111642,6.1704812825,-0.7927298817,0.2,4972
62,2.8106467153,2.9854743048,0.1748275895,0.2,4972
63,4.6847858926,5.3481903898,0.6634044973,0.2,4972
64,1.1892842229,1.3759394601,0.1866552372,0.2,4972
65,2.3247677397,2.9356034735,0.6108357338,0.2,4972
66,2.4793546195,3.2416006068,0.7622459873,0.2,4972
67,6.8384476625,6.1166295144,-0.7218181480,0.2,4972
68,11.1547698687,12.5898147819,1.4350449132,0.2,4972
69,16.7035223607,16.8128484650,0.1093261043,0.2,4972
70,2.3285240659,2.7723413807,0.4438173148,0.2,4972
71,3.3174917708,3.6211029827,0.3036112119,0.2,4972
72,0.5237238850,0.5469808004,0.0232569154,0.2,4972
73,2.0682994624,2.1346423872,0.0663429248,0.2,4972
74,0.2306257188,0.2306257188,0.0000000000,0.2,4972
75,0.6465880726,0.6465880726,0.0000000000,0.2,4972
76,430.8091963103,428.5650079550,-2.2441883554,0.2,4972
77,111.9332413442,113.2502307112,1.3169893670,0.2,4972
