region_id,baseline_irv,perturbed_irv,delta_irv,replacement_rate,selected_paths
1,30.6801765752,30.6141367529,-0.0660398223,0.1,2486
2,49.9792739350,49.0003957944,-0.9788781406,0.1,2486
3,165.3582423856,164.8880038382,-0.4702385474,0.1,2486
4,73.2276998600,72.5426454723,-0.6850543877,0.1,2486
5,105.1053986282,109.3044841016,4.1990854733,0.1,2486
6,490.2971020387,488.6322548550,-1.6648471838,0.1,2486
7,667.0475471746,669.9280289801,2.8804818055,0.1,2486
8,2091.4366106249,2082.2824725026,-9.1541381223,0.1,2486
9,0.4103961793,0.7216868135,0.3112906343,0.1,2486
10,313.7578129983,312.7660582280,-0.9917547704,0.1,2486
11,246.1392265499,245.8876103916,-0.2516161583,0.1,2486
12,21.8732899369,20.2264906016,-1.6467993354,0.1,2486
13,17.9556034177,16.9950119675,-0.9605914501,0.1,2486
14,46.0801944905,45.5633475523,-0.5168469381,0.1,2486
15,86.1278996712,86.3074158131,0.1795161418,0.1,2486
16,271.3529851777,275.0544719260,3.7014867483,0.1,2486
17,4.3666434892,4.3114354946,-0.0552079947,0.1,2486
18,1.4336116004,1.3961511074,-0.0374604930,0.1,2486
19,19.7303610128,19.7698531944,0.0394921816,0.1,2486
20,5.9761853071,6.5128612670,0.5366759599,0.1,2486
21,218.3020822582,216.9971022877,-1.3049799705,0.1,2486
22,337.1531190925,333.3908930920,-3.7622260005,0.1,2486
23,31.4082922850,32.0319563287,0.6236640438,0.1,2486
24,611.5121365967,613.4308793600,1.9187427633,0.1,2486
25,12.6696562688,13.8094555475,1.1397992787,0.1,2486
26,8.7295842462,6.2273850710,-2.5021991752,0.1,2486
27,11.7641826965,11.7809133522,0.0167306557,0.1,2486
28,550.6869754267,559.9188014605,9.2318260338,0.1,2486
29,8.8096482890,8.5950323295,-0.2146159595,0.1,2486
30,121.4900769929,122.7282077125,1.2381307196,0.1,2486
31,97.9266615949,96.4252586745,-1.5014029204,0.1,2486
32,887.3106290269,885.8663226884,-1.4443063385,0.1,2486
33,132.2781358523,133.1336518963,0.8555160440,0.1,2486
34,52.6743256362,54.1549094168,1.4805837806,0.1,2486
35,27.5656241470,27.7333026270,0.1676784800,0.1,2486
36,18.6664666570,17.1745459184,-1.4919207386,0.1,2486
37,16.8726594501,17.1864600382,0.3138005881,0.1,2486
38,8.0998500228,9.4209046484,1.3210546256,0.1,2486
39,17.7772415867,16.7417585461,-1.0354830407,0.1,2486
40,10.1042929966,10.6527521824,0.5484591858,0.1,2486
41,17.3265923537,16.8742794638,-0.4523128899,0.1,2486
42,6.5066315028,6.5114118446,0.0047803418,0.1,2486
43,7.3656475223,7.2302788501,-0.1353686721,0.1,2486
44,6.4648777477,6.4701801542,0.0053024065,0.1,2486
45,2.5627014013,2.6644035488,0.1017021475,0.1,2486
46,1.9589760041,1.9742153912,0.0152393872,0.1,2486
47,0.0707286060,0.1318190643,0.0610904583,0.1,2486
48,1.5507146820,1.7160531560,0.1653384740,0.1,2486
49,3.1036079905,3.2247277675,0.1211197770,0.1,2486
50,1.1654220274,1.2919478694,0.1265258420,0.1,2486
51,1.3357294227,1.5862007307,0.2504713080,0.1,2486
52,0.9405133339,0.7437890579,-0.1967242759,0.1,2486
53,0.3893538249,0.3893538249,0.0000000000,0.1,2486
54,0.0891282861,0.0891282861,0.0000000000,0.1,2486
55,0.3409214174,0.3037170003,-0.0372044171,0.1,2486
56,102.5476605766,102.5249923708,-0.0226682058,0.1,2486
57,14.5303588848,13.4210317278,-1.1093271570,0.1,2486
58,31.9742286944,30.1557944605,-1.8184342340,0.1,2486
59,30.4988112178,30.1539110694,-0.3449001484,0.1,2486
60,68.2952829005,67.5454937125,-0.7497891880,0.1,2486
61,6.9632111642,6.5729717962,-0.3902393680,0.1,2486
62,2.8106467153,2.9494072164,0.1387605010,0.1,2486
63,4.6847858926,5.1796223972,0.4948365047,0.1,2486
64,1.1892842229,1.2432729274,0.0539887045,0.1,2486
65,2.3247677397,2.7003984976,0.3756307579,0.1,2486
66,2.4793546195,3.0824068713,0.6030522517,0.1,2486
67,6.8384476625,6.6567726051,-0.1816750573,0.1,2486
68,11.1547698687,11.6687861959,0.5140163272,0.1,2486
69,16.7035223607,16.3133913888,-0.3901309719,0.1,2486
70,2.3285240659,2.3605093916,0.0319853256,0.1,2486
71,3.3174917708,3.5491129741,0.2316212034,0.1,2486
72,0.5237238850,0.5469808004,0.0232569154,0.1,2486
73,2.0682994624,2.1346423872,0.0663429248,0.1,2486
74,0.2306257188,0.2306257188,0.0000000000,0.1,2486
75,0.6465880726,0.6465880726,0.0000000000,0.1,2486
76,430.8091963103,429.8438081178,-0.9653881925,0.1,2486
77,111.9332413442,111.8893357809,-0.0439055633,0.1,2486
