region_id,baseline_irv,perturbed_irv,delta_irv,replacement_rate,selected_paths
1,30.6801765752,30.8952430374,0.2150664622,0.05,1243
2,49.9792739350,49.8165445812,-0.1627293538,0.05,1243
3,165.3582423856,164.5353871546,-0.8228552309,0.05,1243
4,73.2276998600,73.3245292534,0.0968293934,0.05,1243
5,105.1053986282,106.9504497734,1.8450511452,0.05,1243
6,490.2971020387,489.5267568289,-0.7703452098,0.05,1243
7,667.0475471746,670.0864190750,3.0388719004,0.05,1243
8,2091.4366106249,2086.2783351748,-5.1582754501,0.05,1243
9,0.4103961793,0.4890201614,0.0786239821,0.05,1243
10,313.7578129983,313.2267990297,-0.5310139686,0.05,1243
11,246.1392265499,246.2664358495,0.1272092996,0.05,1243
12,21.8732899369,20.5881473572,-1.2851425797,0.05,1243
13,17.9556034177,17.2456675101,-0.7099359076,0.05,1243
14,46.0801944905,45.8582725716,-0.2219219189,0.05,1243
15,86.1278996712,86.1732269917,0.0453273205,0.05,1243
16,271.3529851777,274.2798451448,2.9268599671,0.05,1243
17,4.3666434892,4.3120245713,-0.0546189180,0.05,1243
18,1.4336116004,1.3961511074,-0.0374604930,0.05,1243
19,19.7303610128,19.9101231296,0.1797621168,0.05,1243
20,5.9761853071,6.5128612670,0.5366759599,0.05,1243
21,218.3020822582,217.5412163733,-0.7608658849,0.05,1243
22,337.1531190925,333.6279891935,-3.5251298990,0.05,1243
23,31.4082922850,31.7859227309,0.3776304460,0.05,1243
24,611.5121365967,611.9378081657,0.4256715690,0.05,1243
25,12.6696562688,13.8064449982,1.1367887294,0.05,1243
26,8.7295842462,6.2409107638,-2.4886734824,0.05,1243
27,11.7641826965,11.7740546877,0.0098719912,0.05,1243
28,550.6869754267,555.1997346885,4.5127592618,0.05,1243
29,8.8096482890,8.1686436959,-0.6410045931,0.05,1243
30,121.4900769929,122.2683698030,0.7782928101,0.05,1243
31,97.9266615949,96.6972176600,-1.2294439348,0.05,1243
32,887.3106290269,888.6442490359,1.3336200090,0.05,1243
33,132.2781358523,132.7156400275,0.4375041751,0.05,1243
34,52.6743256362,53.6136533030,0.9393276668,0.05,1243
35,27.5656241470,27.5141092450,-0.0515149020,0.05,1243
36,18.6664666570,18.3875569979,-0.2789096591,0.05,1243
37,16.8726594501,17.1976841535,0.3250247034,0.05,1243
38,8.0998500228,7.7005094146,-0.3993406082,0.05,1243
39,17.7772415867,17.7888382045,0.0115966177,0.05,1243
40,10.1042929966,10.0920116108,-0.0122813858,0.05,1243
41,17.3265923537,17.1709349983,-0.1556573554,0.05,1243
42,6.5066315028,6.6224727045,0.1158412017,0.05,1243
43,7.3656475223,7.4299972754,0.0643497532,0.05,1243
44,6.4648777477,6.2397477293,-0.2251300185,0.05,1243
45,2.5627014013,2.6934360932,0.1307346918,0.05,1243
46,1.9589760041,1.9585572649,-0.0004187392,0.05,1243
47,0.0707286060,0.1318190643,0.0610904583,0.05,1243
48,1.5507146820,1.6596582794,0.1089435974,0.05,1243
49,3.1036079905,3.1416787555,0.0380707650,0.05,1243
50,1.1654220274,1.2144697186,0.0490476912,0.05,1243
51,1.3357294227,1.3407784567,0.0050490340,0.05,1243
52,0.9405133339,0.9405133339,0.0000000000,0.05,1243
53,0.3893538249,0.3893538249,0.0000000000,0.05,1243
54,0.0891282861,0.0891282861,0.0000000000,0.05,1243
55,0.3409214174,0.3409214174,0.0000000000,0.05,1243
56,102.5476605766,102.7593895728,0.2117289962,0.05,1243
57,14.5303588848,14.1392612242,-0.3910976606,0.05,1243
58,31.9742286944,31.1233892936,-0.8508394008,0.05,1243
59,30.4988112178,30.2193114140,-0.2794998038,0.05,1243
60,68.2952829005,67.5233214045,-0.7719614960,0.05,1243
61,6.9632111642,7.0165578623,0.0533466981,0.05,1243
62,2.8106467153,2.7578517849,-0.0527949304,0.05,1243
63,4.6847858926,4.8180808511,0.1332949585,0.05,1243
64,1.1892842229,1.1835062350,-0.0057779880,0.05,1243
65,2.3247677397,2.5274257315,0.2026579918,0.05,1243
66,2.4793546195,2.9203507719,0.4409961524,0.05,1243
67,6.8384476625,6.4820732214,-0.3563744410,0.05,1243
68,11.1547698687,11.6385508802,0.4837810114,0.05,1243
69,16.7035223607,16.6249828349,-0.0785395258,0.05,1243
70,2.3285240659,2.1835964814,-0.1449275845,0.05,1243
71,3.3174917708,3.3174917708,0.0000000000,0.05,1243
72,0.5237238850,0.5469808004,0.0232569154,0.05,1243
73,2.0682994624,2.1346423872,0.0663429248,0.05,1243
74,0.2306257188,0.2306257188,0.0000000000,0.05,1243
75,0.6465880726,0.6465880726,0.0000000000,0.05,1243
76,430.8091963103,430.2670087734,-0.5421875370,0.05,1243
77,111.9332413442,111.1585393379,-0.7747020063,0.05,1243
