region_id,baseline_irv,perturbed_irv,delta_irv,replacement_rate,selected_paths
105,20.5586718638,19.6425831843,-0.9160886795,0.2,7829
106,0.9250844516,0.9530795932,0.0279951416,0.2,7829
107,0.0628549982,0.1745857936,0.1117307954,0.2,7829
108,1.4346471855,1.4079538139,-0.0266933716,0.2,7829
109,10.5339774442,9.8022510572,-0.7317263870,0.2,7829
110,0.2272689688,0.4681266125,0.2408576436,0.2,7829
111,19.1828572764,17.7978083395,-1.3850489370,0.2,7829
112,2.7452805307,2.4084327385,-0.3368477923,0.2,7829
113,12.4399253776,11.2754032915,-1.1645220861,0.2,7829
114,0.3877135131,0.2766825706,-0.1110309425,0.2,7829
115,9.1635179975,9.7414089492,0.5778909517,0.2,7829
116,7.1478082473,7.3460895976,0.1982813503,0.2,7829
117,38.5692750336,40.7892796717,2.2200046381,0.2,7829
118,2.6445260666,2.9249771491,0.2804510825,0.2,7829
119,5.3636200404,5.0950932925,-0.2685267479,0.2,7829
120,4.8085988864,4.7247278739,-0.0838710125,0.2,7829
121,8.7394446695,8.5518152997,-0.1876293698,0.2,7829
122,9.0822792395,9.2445237841,0.1622445446,0.2,7829
123,7.0285686775,7.3023282151,0.2737595376,0.2,7829
124,1.7093219679,1.8255920110,0.1162700431,0.2,7829
125,16.0635038284,16.1812227292,0.1177189009,0.2,7829
126,3.3601891905,2.7781195926,-0.5820695979,0.2,7829
127,4.0764146433,4.3020516145,0.2256369711,0.2,7829
128,4.0939844490,3.9826210885,-0.1113633605,0.2,7829
129,3.6359086140,3.9161977929,0.2802891789,0.2,7829
130,2.8005869859,3.3427787926,0.5421918066,0.2,7829
131,10.9987232407,12.0593219123,1.0605986716,0.2,7829
132,16.4159190522,15.8174443250,-0.5984747272,0.2,7829
133,3.1899641205,3.6906402875,0.5006761670,0.2,7829
134,6.3512560263,5.5352543105,-0.8160017158,0.2,7829
135,8.0312709116,7.5234428020,-0.5078281095,0.2,7829
136,2.8202511085,2.7627208845,-0.0575302240,0.2,7829
137,0.2463861372,0.2455238573,-0.0008622799,0.2,7829
138,8.2446753322,8.3551217928,0.1104464606,0.2,7829
139,3.5690417919,4.2263105288,0.6572687368,0.2,7829
140,15.3748456767,16.9678315179,1.5929858412,0.2,7829
141,4.9262006464,4.8510637566,-0.0751368898,0.2,7829
142,2.7330160941,2.7389902394,0.0059741453,0.2,7829
143,8.0001580844,8.3317718854,0.3316138010,0.2,7829
144,17.8416431945,18.2431998002,0.4015566056,0.2,7829
145,8.4251708621,8.6018627319,0.1766918698,0.2,7829
146,4.2933310877,4.4932221215,0.1998910339,0.2,7829
147,7.5446874977,7.5109243810,-0.0337631167,0.2,7829
148,34.9914277630,34.9940351249,0.0026073618,0.2,7829
149,0.2183447452,0.2534155625,0.0350708172,0.2,7829
150,8.1070995948,8.7820101875,0.6749105928,0.2,7829
151,86.4688528145,86.5552285182,0.0863757038,0.2,7829
152,0.0153435212,0.0153435212,0.0000000000,0.2,7829
153,5.7489747511,5.8079539273,0.0589791761,0.2,7829
154,21.0174446068,22.4608463211,1.4434017143,0.2,7829
155,0.2482244451,0.2150323997,-0.0331920454,0.2,7829
156,39.9134845958,46.5969765832,6.6834919874,0.2,7829
157,2.4632279629,2.6630819258,0.1998539629,0.2,7829
158,0.2501799797,0.3100202220,0.0598402423,0.2,7829
