region_id,baseline_irv,perturbed_irv,delta_irv,replacement_rate,selected_paths
1,0.0000000000,0.0000000000,0.0000000000,0.15,5872
2,0.0000000000,0.0000000000,0.0000000000,0.15,5872
3,0.0000000000,0.0000000000,0.0000000000,0.15,5872
4,0.0000000000,0.0000000000,0.0000000000,0.15,5872
5,0.0000000000,0.0000000000,0.0000000000,0.15,5872
6,0.0000000000,0.0000000000,0.0000000000,0.15,5872
7,0.0000000000,0.0000000000,0.0000000000,0.15,5872
8,0.0000000000,0.0000000000,0.0000000000,0.15,5872
9,0.0000000000,0.0000000000,0.0000000000,0.15,5872
10,0.0000000000,0.0000000000,0.0000000000,0.15,5872
11,0.0000000000,0.0000000000,0.0000000000,0.15,5872
12,0.0000000000,0.0000000000,0.0000000000,0.15,5872
13,0.0000000000,0.0000000000,0.0000000000,0.15,5872
14,0.0000000000,0.0000000000,0.0000000000,0.15,5872
15,0.0000000000,0.0000000000,0.0000000000,0.15,5872
16,0.0000000000,0.0000000000,0.0000000000,0.15,5872
17,0.0000000000,0.0000000000,0.0000000000,0.15,5872
18,0.0000000000,0.0000000000,0.0000000000,0.15,5872
19,0.0000000000,0.0000000000,0.0000000000,0.15,5872
20,0.0000000000,0.0000000000,0.0000000000,0.15,5872
21,0.0000000000,0.0000000000,0.0000000000,0.15,5872
22,0.0000000000,0.0000000000,0.0000000000,0.15,5872
23,0.0000000000,0.0000000000,0.0000000000,0.15,5872
24,0.0000000000,0.0000000000,0.0000000000,0.15,5872
25,0.0000000000,0.0000000000,0.0000000000,0.15,5872
26,0.0000000000,0.0000000000,0.0000000000,0.15,5872
27,0.0000000000,0.0000000000,0.0000000000,0.15,5872
28,0.0000000000,0.0000000000,0.0000000000,0.15,5872
29,0.0000000000,0.0000000000,0.0000000000,0.15,5872
30,0.0000000000,0.0000000000,0.0000000000,0.15,5872
31,0.0000000000,0.0000000000,0.0000000000,0.15,5872
32,0.0000000000,0.0000000000,0.0000000000,0.15,5872
33,0.0000000000,0.0000000000,0.0000000000,0.15,5872
34,0.0000000000,0.0000000000,0.0000000000,0.15,5872
35,0.0000000000,0.0000000000,0.0000000000,0.15,5872
36,0.0000000000,0.0000000000,0.0000000000,0.15,5872
37,0.0000000000,0.0000000000,0.0000000000,0.15,5872
38,0.0394289372,0.0394289372,0.0000000000,0.15,5872
39,0.0000000000,0.0000000000,0.0000000000,0.15,5872
40,0.0000000000,0.0000000000,0.0000000000,0.15,5872
41,0.4468325902,0.4468325902,0.0000000000,0.15,5872
42,0.0000000000,0.0000000000,0.0000000000,0.15,5872
43,0.0000000000,0.0000000000,0.0000000000,0.15,5872
44,0.0000000000,0.0000000000,0.0000000000,0.15,5872
45,0.0000000000,0.0000000000,0.0000000000,0.15,5872
46,0.0000000000,0.0000000000,0.0000000000,0.15,5872
47,0.0000000000,0.0000000000,0.0000000000,0.15,5872
48,0.0186860136,0.0186860136,0.0000000000,0.15,5872
49,0.0044927813,0.0044018169,-0.0000909644,0.15,5872
50,0.0265912004,0.0265912004,0.0000000000,0.15,5872
51,0.0175354090,0.0175354090,0.0000000000,0.15,5872
52,0.0000000000,0.0000000000,0.0000000000,0.15,5872
53,0.0973989986,0.0973989986,0.0000000000,0.15,5872
54,0.5506910885,0.5506910885,0.0000000000,0.15,5872
55,0.0000000000,0.0000000000,0.0000000000,0.15,5872
56,0.0000000000,0.0000000000,0.0000000000,0.15,5872
57,0.0000000000,0.0000000000,0.0000000000,0.15,5872
58,0.0000000000,0.0000000000,0.0000000000,0.15,5872
59,0.1628451901,0.1628451901,0.0000000000,0.15,5872
60,0.0000000000,0.0000000000,0.0000000000,0.15,5872
61,2.0985910535,2.0985910535,0.0000000000,0.15,5872
62,0.0000000000,0.0000000000,0.0000000000,0.15,5872
63,0.0000000000,0.0000000000,0.0000000000,0.15,5872
64,0.0000000000,0.0000000000,0.0000000000,0.15,5872
65,0.0708338665,0.0706098675,-0.0002239990,0.15,5872
66,0.0000000000,0.0000000000,0.0000000000,0.15,5872
67,0.0000000000,0.0000000000,0.0000000000,0.15,5872
68,0.0000000000,0.0000000000,0.0000000000,0.15,5872
69,0.0000000000,0.0000000000,0.0000000000,0.15,5872
70,0.0514502045,0.0513289855,-0.0001212190,0.15,5872
71,0.0000000000,0.0000000000,0.0000000000,0.15,5872
72,0.0059888420,0.0059747320,-0.0000141100,0.15,5872
73,0.1014405292,0.0000000000,-0.1014405292,0.15,5872
74,0.0059888420,0.0059747320,-0.0000141100,0.15,5872
75,0.0514502045,0.0513289855,-0.0001212190,0.15,5872
