region_id,baseline_irv,perturbed_irv,delta_irv,replacement_rate,selected_paths
1,0.0000000000,0.0000000000,0.0000000000,0.05,1957
2,0.0000000000,0.0000000000,0.0000000000,0.05,1957
3,0.0000000000,0.0000000000,0.0000000000,0.05,1957
4,0.0000000000,0.0000000000,0.0000000000,0.05,1957
5,0.0000000000,0.0000000000,0.0000000000,0.05,1957
6,0.0000000000,0.0000000000,0.0000000000,0.05,1957
7,0.0000000000,0.0000000000,0.0000000000,0.05,1957
8,0.0000000000,0.0000000000,0.0000000000,0.05,1957
9,0.0000000000,0.0000000000,0.0000000000,0.05,1957
10,0.0000000000,0.0000000000,0.0000000000,0.05,1957
11,0.0000000000,0.0000000000,0.0000000000,0.05,1957
12,0.0000000000,0.0000000000,0.0000000000,0.05,1957
13,0.0000000000,0.0000000000,0.0000000000,0.05,1957
14,0.0000000000,0.0000000000,0.0000000000,0.05,1957
15,0.0000000000,0.0000000000,0.0000000000,0.05,1957
16,0.0000000000,0.0000000000,0.0000000000,0.05,1957
17,0.0000000000,0.0000000000,0.0000000000,0.05,1957
18,0.0000000000,0.0000000000,0.0000000000,0.05,1957
19,0.0000000000,0.0000000000,0.0000000000,0.05,1957
20,0.0000000000,0.0000000000,0.0000000000,0.05,1957
21,0.0000000000,0.0000000000,0.0000000000,0.05,1957
22,0.0000000000,0.0000000000,0.0000000000,0.05,1957
23,0.0000000000,0.0000000000,0.0000000000,0.05,1957
24,0.0000000000,0.0000000000,0.0000000000,0.05,1957
25,0.0000000000,0.0000000000,0.0000000000,0.05,1957
26,0.0000000000,0.0000000000,0.0000000000,0.05,1957
27,0.0000000000,0.0000000000,0.0000000000,0.05,1957
28,0.0000000000,0.0000000000,0.0000000000,0.05,1957
29,0.0000000000,0.0000000000,0.0000000000,0.05,1957
30,0.0000000000,0.0000000000,0.0000000000,0.05,1957
31,0.0000000000,0.0000000000,0.0000000000,0.05,1957
32,0.0000000000,0.0000000000,0.0000000000,0.05,1957
33,0.0000000000,0.0000000000,0.0000000000,0.05,1957
34,0.0000000000,0.0000000000,0.0000000000,0.05,1957
