city,replacement_rate,selected_paths,baseline_irv,net_delta_irv,absolute_delta_irv,changed_regions,all_valid_paths
chicago,0.05,1243,8796.162271449102,-2.204473498658679,45.33827023498497,70,24861
chicago,0.1,2486,8796.162271449102,-3.485599126830648,71.6637525316126,73,24861
chicago,0.15,3729,8796.162271449102,-3.379651300053095,106.68656839675918,73,24861
chicago,0.2,4972,8796.162271449102,-5.290188928783635,142.33535103788938,73,24861
